# ndens	phi_ion
2.564093684618477335e-08 1.165589566355064227e-17
1.602946153247416109e-09 3.361200229459301233e-14
1.403992344767450197e-09 1.719756223052466560e-14
1.209234584672184047e-08 3.555881607982818033e-14
3.110974789310778326e-09 2.183305836154420639e-14
1.037719408413123135e-08 1.297359673817296957e-14
2.459504221184462064e-09 7.640162274172669675e-13
4.079176363480022589e-08 3.096678343502394374e-16
1.808353474925455452e-09 1.850757381658870010e-16
1.805955830870280105e-08 8.177896200205307131e-17
1.130307489521672455e-09 3.676976821169863195e-15
3.672148217314298729e-09 1.024503190386013362e-17
3.319919562556149758e-09 3.691827970488376341e-17
1.836779261773414964e-08 1.096696738188552555e-13
6.181554761605669784e-08 3.900097022607666451e-16
3.673971538789267851e-08 9.267550570572072446e-16
7.430560648879673767e-08 2.990889746983021503e-17
8.135877310365361998e-09 1.146631028583287086e-16
5.975493378771067868e-09 1.394365861726836807e-14
9.361007886898071657e-08 1.805767261157806432e-13
1.413582000526148298e-08 5.274504360614312987e-14
8.415263431888518200e-09 2.310659912992706942e-13
3.857201395932714784e-09 4.200122600604320530e-16
4.929312394919203716e-09 2.397648148377659682e-16
4.830099774132744999e-08 3.589857653921988390e-14
2.867002602564568982e-09 1.623593571800563646e-16
3.376802041530759422e-08 5.248405139633615040e-16
2.370970501218635283e-08 2.591217009579783020e-14
2.490931233109477491e-09 6.021538335709266820e-14
1.613459846119798444e-08 1.577589120091315209e-16
1.068468577750326168e-08 7.003989341500794820e-16
1.024329869022170109e-09 1.645179828904592306e-16
1.634624271495955397e-08 5.738231967603778598e-16
1.541045927989658572e-08 2.107307199066831469e-16
2.578794943117810848e-09 3.998364542218341895e-17
4.281412743071451284e-08 2.431597883774193534e-17
7.083882500542485266e-08 1.311366161276837234e-14
8.348495431995940474e-09 1.745668210166269348e-15
3.015132836657318999e-08 1.119062321182842115e-13
3.614757140533788039e-09 1.359162686845452614e-15
4.649793785851473061e-08 5.686842754690826953e-13
8.207405423703257990e-09 4.977504868674147311e-15
5.409331189938026822e-08 2.351107723398172546e-16
7.519806136600492077e-09 4.850939964060513599e-17
1.790685661799116642e-09 4.014074876934740116e-16
3.778957689479040528e-08 3.734431336434176303e-13
4.026426825656198019e-08 5.470001210656983318e-14
3.310684993309226374e-08 5.555637679422746534e-13
4.214541270714526759e-09 4.427292807166069450e-17
6.153803781511186883e-08 4.307543702199918904e-13
8.848608358618699289e-08 4.411162178697238076e-17
2.893277111386240049e-09 4.703773331922537327e-17
1.926952962458364032e-09 9.348884258647474739e-14
2.421133408805613052e-08 3.316095703290540558e-17
4.345832481488772446e-09 2.045428962233541648e-16
3.282221189807611098e-08 3.505613503504340572e-15
7.667931604010864067e-09 1.282854396806465842e-14
1.385780043172928674e-09 1.037802676677525215e-17
5.097496165071422913e-09 1.197136302950153534e-14
9.352175917682176522e-09 3.508929670812812838e-13
1.236847568722148203e-08 3.882479705416404158e-14
5.859680371383303618e-09 1.218601410384116356e-15
3.591864314913999616e-09 1.902597857360890083e-15
5.081772935593722392e-09 2.231734440309472803e-14
6.490808496702609782e-08 1.486542366346894109e-14
2.535115193102290622e-08 1.928435128614006292e-13
1.551816042310112029e-09 2.356885693860698199e-15
9.067863258864076497e-09 1.379632381437475316e-13
2.338985483392446913e-09 1.542388139335829795e-16
1.994376466343366299e-08 2.617332754728109869e-14
2.408095547331059377e-08 7.516483315385983734e-15
4.695407486456719287e-08 3.618828248661849404e-13
5.748976521653965358e-09 4.643103336168627463e-15
5.628974613482941073e-09 2.194349369010246411e-16
1.947058859847307157e-08 3.586814028651314551e-16
1.464557509189493104e-09 4.674113798575310172e-13
4.336604652348990208e-09 2.354472132756542658e-13
8.792591596778691583e-08 1.007222943862741475e-16
6.747655759987424927e-08 6.798350848915000249e-13
3.792163757283059168e-09 7.375350785880859524e-16
1.824445251824242097e-08 5.447628886979301129e-17
1.980728022307313523e-09 1.041938116939704049e-17
4.705556610523693699e-08 3.348615349533668412e-13
1.254240015574679437e-08 7.949722329547083424e-13
6.182126037703483753e-09 3.540824254187667643e-14
3.968900330851725539e-08 5.065935717863245641e-17
4.977162137950086202e-09 1.321623585277927246e-15
2.378213844897644119e-09 3.396259779073042121e-16
2.213369160657822909e-08 9.692531201908804291e-16
3.329101680618907752e-09 3.011396214303766893e-13
2.212376405286754584e-08 6.534851207883316444e-14
6.498188010506729914e-09 6.303963649069125317e-14
2.664969148026176544e-09 2.580398195344687003e-17
1.766248227011384815e-09 6.222338672831959517e-17
2.934791395862472507e-08 2.185877668802957320e-13
7.291342383069683822e-09 9.078890258721711495e-16
3.456131917285261894e-09 2.308785133907858148e-16
4.597392442636785539e-09 2.422380018264030450e-16
6.645341389146896288e-09 3.991179770709567313e-15
7.359823457597590264e-08 4.366123686163713273e-16
1.121828192766563838e-08 1.207786179514406953e-15
6.107813077926007542e-08 5.601009030636512043e-17
2.919368055169716515e-09 1.063565089683663785e-16
1.151267865165169727e-08 1.646925225552831704e-14
8.274357727398508261e-09 5.469578985243093059e-13
1.962952320888675002e-08 4.724928230989088364e-14
3.598077416286638053e-08 1.189099233307880194e-17
7.738241244944381794e-08 1.538451981257797318e-15
2.056856842124431687e-09 5.124524654420869446e-16
8.958289279243806152e-09 2.653175446152447177e-15
4.356538090849045047e-08 4.526393916365799713e-14
2.999102480987896841e-09 3.132269494175857297e-15
1.594867719095032555e-08 9.377802514315713056e-16
7.701048263292983291e-08 2.343048372077848559e-15
1.123737098765501173e-09 6.350571969655586640e-17
7.069420832723186722e-08 5.071606877595813576e-13
5.197843581650254828e-09 1.740291744571020955e-14
1.007212942470959453e-09 2.807675547639819099e-16
4.992725579643627578e-09 9.844076067567520018e-13
3.521026970937346321e-09 1.086753956654990846e-17
2.299252942759493882e-08 6.909363510616813893e-14
4.885609866499509380e-08 1.794518469085867575e-17
1.411201723137021941e-09 2.861210797062698170e-14
1.481011773606004816e-08 2.238490828795908918e-13
7.044431727054784609e-08 2.363782738061793179e-13
2.513571880018003809e-08 9.436679377337234971e-17
5.376698282522357455e-09 3.056096369861416430e-17
2.710881470854199995e-08 3.182661971669422918e-13
3.551603137802353938e-09 1.915399415420869119e-17
1.039285565885014422e-09 2.478570939381074279e-14
1.964343674906400083e-08 8.006407364237180528e-15
4.562943506379736604e-09 4.588527089681276693e-15
7.742510860499455459e-09 4.119149468591799051e-13
6.436653579041456408e-09 5.879534440325469908e-16
2.981027056762060353e-09 5.240653424769010724e-16
1.726383561940936424e-09 3.289900876883600364e-13
5.009589602355449137e-08 5.602925067219350636e-14
9.182944439272915916e-08 3.199451518018675035e-16
5.664898624330731606e-09 8.800806246523968539e-17
5.739483517137653905e-08 3.913688402796473443e-16
1.755865753647932000e-09 6.135701364036707394e-15
1.919883050879413690e-08 7.847150518516805383e-13
5.367808680183799748e-09 3.601719618710740331e-13
4.119994642898338407e-08 1.695219372378872149e-17
1.792214327181919495e-08 2.789522919418362421e-13
2.508125390055733901e-08 4.697458977663488779e-14
1.075278521878141970e-09 2.454984439849357836e-14
4.830524657887466804e-09 1.347315168558600111e-15
6.089036330837881315e-08 7.308969396622242439e-17
1.972063880661356778e-09 3.945286248216961110e-16
6.532756705317125449e-08 9.128160232345155245e-15
6.150094432694463393e-09 2.963568732622506140e-15
2.016066020222481497e-09 2.270585097277462829e-14
2.310510866780859623e-09 3.981804079869263690e-13
4.922870548150765020e-08 1.251538832599136971e-15
2.242436081555879949e-08 3.973923675234325435e-14
5.024572324299787545e-09 6.012717757374359820e-17
2.617976302763501394e-09 2.861732455640199685e-15
1.106615507438492861e-09 1.489055917016927493e-17
3.393372860064073493e-08 1.136205608268897681e-17
3.489322543054719113e-09 1.542604579160042334e-13
3.716097538037050590e-09 2.860536469660575910e-16
3.346457976988420408e-09 1.285753881416419801e-15
3.638097240541766273e-09 1.950780135323757347e-17
4.393280798211344222e-08 9.384248192086418712e-13
1.090883061110804967e-09 1.988304500283416388e-16
4.487352199538227764e-09 1.089160256702257690e-16
4.072990267415799276e-08 4.243247263854994796e-16
2.863840608892251982e-08 1.795094158417707793e-14
1.915177018525680383e-09 1.809688143790091900e-16
2.896929879738046672e-08 4.579776753128089114e-16
8.479823759458739231e-08 2.406274676045495745e-17
1.714731908559275912e-08 3.418869749205881556e-16
9.039520046706274915e-08 2.127806504237650191e-16
9.782456642134286940e-09 4.711657253220023747e-16
6.984910571582951013e-09 9.228799478270831394e-13
3.615134474161427833e-08 2.534098712663494126e-13
9.003900381466821944e-09 1.615546902928511230e-13
3.538972285619240948e-08 5.760296652759298108e-13
5.589619345559715335e-09 7.211156302803794447e-14
1.933484242647696464e-09 2.095075648467288178e-14
5.648196792946942484e-08 6.092548570857841495e-15
4.910334119447099337e-09 4.543467874844327488e-13
3.468145641361561910e-09 1.128374674286592002e-14
1.909797704233214092e-09 9.004365814016737877e-14
1.933951939040298647e-08 2.562359753597398835e-16
9.873159851205034036e-09 3.787991388068608174e-15
4.434357014321517777e-08 1.234704403594813644e-13
7.917298780821766190e-09 1.988320309821022672e-17
1.820692468606983685e-09 8.374215562476065403e-15
2.145297418305482992e-09 2.250155238514071162e-15
4.676348815614715221e-09 5.228686038159606531e-14
6.777587963888400255e-09 9.961692955182722415e-14
4.325755783276666286e-09 1.511168757478246248e-17
2.419556340722764052e-09 4.745748944513112187e-17
3.087372610803214486e-08 4.774773492547155583e-15
4.843861472211688632e-09 2.400602940126043961e-16
3.327453180636888522e-08 8.814515035513852562e-13
3.876847439536794654e-09 1.079209447644560760e-13
1.558956517915804056e-09 4.493578276338386397e-15
2.870427753675561262e-08 6.971753389195245290e-17
1.225670813467593713e-09 1.593709729786806424e-17
2.200237325195040730e-09 1.242312099244134960e-16
4.601309556941906710e-08 2.154450099273999147e-13
2.305108479249397748e-08 2.017405044134978246e-14
1.373940766687466306e-08 4.131682628566564120e-14
2.498873882474800555e-08 9.616229986901639289e-14
8.938266188813693315e-09 3.873271824547415354e-17
1.442333587856912085e-08 4.982644853758455093e-17
7.486963899158918995e-09 1.147330500449485881e-13
2.190771005435591764e-08 3.380123562409430276e-17
4.159788629042566216e-09 1.003141916660194868e-15
1.381661443653062610e-09 4.267493861794706231e-14
1.589268279697915112e-09 1.945483913407912536e-15
9.586318529608613606e-09 9.852710005819392893e-16
1.522815610503587564e-09 1.254321159930917741e-13
4.477503276610818630e-08 1.440822061801080490e-13
2.783384094324701432e-08 8.603485261631751453e-16
1.808922722695023953e-08 3.628145604244964109e-14
4.710130628974238409e-09 2.003712427399002932e-17
5.511516160206217228e-09 7.480638285504621424e-17
4.761525238120508098e-08 3.004175118098115673e-17
1.143409395032298195e-08 3.895118728823550735e-13
3.049542440681894516e-08 1.276317479452257290e-14
1.160604075978752320e-09 4.132946752316424996e-16
1.765787175954371511e-08 5.551311427729326117e-17
3.145986872385346239e-09 4.261472802518932751e-15
3.291188501816942275e-08 4.309485946555507025e-17
3.419110172781720974e-08 2.620830213886565816e-13
2.498365529209315908e-09 1.151123525383918204e-16
2.026505742518544017e-09 1.162798971096808700e-13
4.305912116193682840e-08 3.312780974599509897e-15
2.012073751455717045e-08 7.181580447906464974e-17
3.114100950909918074e-08 4.413144178986182869e-13
3.206795907110350232e-08 4.556758183542310521e-17
7.088026314380001868e-09 2.801374755254986698e-16
3.955614968842802617e-09 1.049429945225894605e-13
4.235951143156748019e-09 2.282980876901353292e-14
1.049359937567798085e-08 2.603260978269037564e-16
4.950742018832655537e-09 3.095507136833424872e-13
3.692149425653674823e-08 1.583982055158159294e-15
2.314054640683621222e-09 3.077387699143539846e-17
1.176904649653956532e-08 9.479762020353579360e-17
2.217599692343352567e-09 4.473208204379120610e-16
5.321116868407822739e-08 4.292066677383077159e-15
8.063015629978990595e-08 2.216434428598510502e-15
9.193642858539250767e-09 1.125577101005746207e-17
5.872904462586906813e-08 1.200377972359326437e-13
4.795927792483062072e-09 5.059056139982356215e-14
5.882824826419295982e-09 1.660389991470219124e-17
3.513163027586655512e-08 1.009717419610408458e-15
3.494863249955746528e-09 6.274942458584158473e-16
9.106480672881594979e-09 2.036327919122891511e-14
3.837323111002865647e-09 4.287087674529232886e-13
4.607914316871582860e-08 7.114025154289215259e-15
1.419713050278044554e-09 2.059906233319858353e-14
1.108176937668710361e-09 4.440019475471909667e-13
1.752404215718959050e-09 1.159682153377896473e-17
8.114681271556178210e-09 1.384064260781339387e-15
1.003011441529423283e-09 5.286014547583874503e-15
4.436415487182231493e-08 1.652297819997662966e-14
2.383333853725024116e-09 1.317077560119728419e-16
1.528524634522311385e-08 1.736708709700786266e-13
2.227246624390077689e-08 1.290714753700531633e-14
4.841154093117610432e-08 1.760752967694776720e-17
7.474676162448768711e-08 1.172353049227855819e-13
8.315246535855178790e-09 1.900852182104757134e-16
4.800722269634118083e-09 2.790025868575732513e-14
9.397318396320346889e-08 4.923587570293830788e-17
5.866150801360158207e-09 4.696346637614533230e-16
1.853546414991210513e-09 7.027203214327305660e-14
1.317551705304664796e-09 1.964902069624093763e-17
1.807126875635260628e-09 3.034132600192316063e-13
1.424553679772766064e-08 1.970456526382063460e-16
2.734834615334420993e-09 9.018831186731604163e-16
2.715404571361119329e-09 6.723638074693699840e-17
8.732987789109853499e-09 6.222567793748062815e-15
8.501285401100252265e-09 4.139882807537444288e-17
7.944499973804958944e-09 2.207349360215242573e-14
1.706463242848987664e-08 6.612946523956970456e-14
5.473675925114854449e-09 2.725525749425912290e-13
1.312597967961620807e-08 2.494784603834119593e-14
3.860616337253405427e-08 1.657880840683646659e-15
3.209802842176704333e-09 2.853825059427699061e-17
4.555586550175168687e-08 1.146861649662970080e-17
1.495590321407720845e-08 1.954995370627015896e-15
1.545713841075985968e-09 3.365174901366319431e-15
1.326625539185008704e-08 1.858617794377751703e-14
8.163613649065161111e-08 1.354132091837794257e-15
2.698937949899617038e-09 2.072091471619072798e-14
6.654022114307511435e-09 6.686735394564472563e-16
2.033369759293952198e-08 1.232775262680785573e-15
1.028146059731894051e-09 3.199900808477318714e-14
1.464810986021047361e-08 2.291334652181720723e-13
2.734894472918595899e-08 6.440320180009587878e-16
9.184778945086336101e-08 1.627641347628367051e-13
5.454088049486162363e-09 7.870747192078801390e-16
4.262615494120846597e-09 4.027569261010434798e-15
4.687669536435779060e-09 2.061362116979953875e-13
7.622662179608854756e-08 8.978336990304965992e-13
4.458760505793936319e-09 1.226612072322636427e-14
7.397634066497611363e-09 5.305533189826836027e-17
5.091154614891717389e-08 5.910545310533961536e-13
1.177908585966802003e-08 1.682006286623038803e-14
2.097074880300212694e-09 3.161280995391450614e-16
2.855326819555973379e-09 1.108670218304237003e-13
2.196426735355319968e-08 9.939927415453091976e-16
4.848640478429208984e-08 4.946025676647938533e-17
6.972145908289609219e-09 7.606083374547382933e-13
3.806578215898830078e-09 1.305730926296305979e-13
2.176774995761630417e-09 1.742888943244854903e-17
2.409656571213518164e-09 3.849205485580843914e-17
2.955674577617661646e-09 2.645184791844565496e-15
8.988670646579947995e-08 1.700730165079411371e-15
2.351533004698314504e-09 1.078470509805257859e-16
4.979980786867287941e-09 1.351933697442348699e-16
1.729755051214754543e-08 9.289710223817194527e-17
1.280228574415183094e-09 5.824060357815179128e-13
3.111372283639905801e-08 5.353908650097152506e-13
4.029095920749897641e-09 3.164637268400109136e-17
2.345522252354228274e-09 6.044700529754664646e-17
2.633675371212094429e-08 1.019469079691355307e-17
1.528482250502588088e-09 1.918393748927627142e-13
2.706662861821893175e-08 3.479645411090248457e-15
3.943458536399820024e-08 2.376615106921435072e-17
4.177227977620682296e-08 1.569055151118882350e-14
2.506853234695424985e-09 4.865986748027901345e-13
2.843122068276313511e-09 6.616141400948360797e-17
1.494681718786807761e-09 5.987553145849385729e-15
2.220220930953085999e-09 2.879509846475305791e-13
1.451847824552858003e-08 2.341470218636930124e-14
1.112664561275071005e-08 1.241544943375595160e-17
2.686002678058836206e-09 2.002633403486717024e-16
1.196359014660075348e-09 3.384045474704407766e-15
2.326709105782780459e-08 5.329180700095707980e-14
1.456132199019201250e-08 8.579372039782437727e-15
2.634471088277608131e-09 1.621571089637463825e-16
3.061808142621216189e-08 4.349639242233572732e-16
1.748915875751190345e-09 4.459078060183598133e-15
2.438641354453295762e-09 4.507381129462169507e-16
1.509057040951790414e-09 8.246996096238219559e-16
1.186779292243356268e-09 3.413180115082504552e-15
2.759976573312371598e-09 5.801273889990175788e-14
3.695074847112380347e-09 3.599258197660416063e-17
3.428779539424840890e-09 1.605769956146837447e-17
3.087758751486364679e-09 1.391887966743691434e-15
3.949191802565490829e-08 3.533287898508078009e-16
2.040938735923887079e-08 3.260861500373258585e-17
6.156151682202636101e-09 9.264044211788961985e-15
1.691979620597252843e-08 1.350725217302914219e-13
6.918938397134273301e-08 3.587559433126198290e-13
1.088462480779285932e-08 1.370560412199451187e-14
1.571300649880722895e-08 1.528320526735386171e-15
6.481848467676538907e-08 2.678986896191479595e-14
1.099468301922781959e-09 8.707500640138619301e-17
2.139122754032735525e-08 1.280559231771022972e-13
6.358724135239898150e-09 1.582472722101276180e-17
2.873932428735865789e-08 4.555847239229452667e-16
8.228902492602228435e-09 2.689198762594219208e-13
8.288582296271238379e-09 9.938911563963685587e-17
2.882490803904551778e-08 3.253066758634882432e-17
1.263999930886361329e-08 5.919230801782733939e-17
6.874466827797983961e-08 8.233654248390526237e-14
1.079740488181622040e-09 6.555515135948844277e-17
1.078267003934021068e-08 3.808330956500661511e-13
1.224185471968445811e-08 2.697741875958906962e-15
4.853083032479074534e-08 5.063880917132745797e-15
6.111759848628432749e-09 8.872303083595142129e-16
2.121712745421238990e-08 2.202122689819981310e-17
6.208173682711482674e-09 3.660962605858976496e-16
1.272480068248874107e-08 6.846390444558554231e-14
1.229662359534049201e-09 3.155051674520003339e-17
2.317534287575000756e-09 2.800461481774903985e-17
2.934926442610586335e-09 7.832779285276804416e-17
1.425784068929465071e-09 3.562411695568929545e-17
3.185833860169209078e-09 2.906585946715192679e-14
2.674015317754222083e-08 7.097408442293298993e-17
1.469669991861923908e-09 4.950984027005712677e-14
6.435983618194001943e-08 4.686176788123028283e-15
5.039278807011106796e-09 1.897889812828844024e-13
2.390369893483153514e-08 2.165057986715797899e-17
5.712908273377923367e-09 2.173619921033806872e-16
9.036948164536067376e-09 2.321923631904083238e-15
1.694390753463917052e-09 8.247207351010881707e-15
8.492133557612542776e-08 1.920165085645274709e-15
2.833760909037444481e-08 1.947868842413357009e-14
1.139452275994735694e-09 5.121643817509412528e-15
1.025789844654383533e-09 1.076533253882833883e-17
3.382646299469051952e-08 5.115181466518620309e-17
1.210771046251135233e-09 3.124847240159078838e-14
3.193970277792824511e-08 2.292640369763929971e-17
4.247536893925978683e-08 6.905591643365137801e-15
8.572362238114330547e-09 3.509042943471437643e-17
1.266910620484498703e-09 1.604722788710886137e-13
1.575740003928177931e-09 2.295714583513807302e-16
5.900352391711357998e-09 1.177559845329907958e-14
9.171869819894541620e-09 2.584759347283313948e-16
5.554743496047641439e-08 2.674880756295853578e-15
4.381835100746635562e-08 7.571680421812399275e-13
2.249338240648484234e-08 1.230444026659420424e-14
5.228782791615705039e-09 1.092615265562636638e-14
1.342811275191235711e-08 1.524420325586675430e-14
2.780814234600217387e-09 4.557828394804334849e-14
2.377348569860773741e-08 8.132497846369762838e-14
2.480742811771531941e-09 3.348726998079570223e-14
3.523364715543926730e-08 1.814502890914504826e-15
4.133399928243397715e-09 3.947709508655284525e-14
4.782796635237010892e-09 9.808332646675530395e-15
1.894040547744119212e-09 2.619059965392455549e-15
2.133245019954815750e-08 3.289026060571438998e-17
4.040619375725372317e-09 1.776965097713694546e-14
3.655283787891052348e-08 7.431281109463510714e-17
1.154478468319046838e-08 3.917393987706775271e-17
7.503121029817220666e-09 1.599484159813305502e-13
2.219831914193820475e-08 2.280703135134422441e-13
5.687735199583490084e-08 4.152057344808686094e-17
1.190389389127185108e-09 1.096064649970740818e-13
9.346355032438465209e-08 5.604343546567513972e-15
7.489884939558025107e-08 2.843270087644842885e-15
3.895973185949916432e-08 3.621294323889682300e-17
2.275588254515350598e-08 7.580910487732791541e-16
2.298365852200421317e-09 1.016568747831273510e-13
1.361969848422437734e-08 2.485407406384661132e-13
9.438366478882041480e-08 1.401863319097348097e-14
6.461871192975676733e-08 8.518244653080437146e-17
7.203167136524115321e-08 4.027328206720977309e-16
3.544025968157189506e-09 7.374088015190974197e-17
2.649626931564841933e-09 9.576490239575862516e-16
8.284241069838176190e-08 6.979717201598209949e-13
5.109110906812328061e-09 1.219662031410465521e-14
4.055179164353248855e-08 7.786133278439154852e-16
3.392636252555683303e-09 9.254706345042355922e-14
9.496848956039673733e-09 7.478207499705420577e-13
1.669408149755303594e-08 4.907978245014647619e-16
2.593956232693594264e-08 2.152718695990523153e-17
1.289190329050332254e-08 8.525731549952539084e-16
2.801381486201679600e-09 5.967840482573858868e-14
2.274808877844064059e-09 2.567626627661635558e-14
1.701581127062771497e-09 5.565350531307936887e-14
3.247773749733954934e-09 9.154464715037972212e-16
1.877973451132824493e-08 7.908628099545568623e-17
1.440698768529665347e-08 1.883020231176494099e-17
2.583655740028977415e-08 3.303585044388339912e-13
1.273832190750069771e-09 1.236477552835404859e-17
9.229103010589884699e-09 4.792707119759596187e-13
4.110109828880576657e-08 2.747841756548418070e-16
2.308855824146410964e-08 6.132313565183491023e-13
7.710591203494071204e-09 1.511306773563034185e-16
2.000957330512531429e-09 9.020767364848390229e-13
3.263399774622729345e-08 2.727872780296069144e-15
4.966414888111863972e-08 5.022305640348560091e-17
3.564153506756129403e-09 7.399362390426921701e-14
1.950174222653471203e-09 7.687674705407465277e-15
5.237543466837266697e-09 6.039569984771289744e-16
2.016022550274419876e-08 7.931710633042402338e-13
1.782988444522440573e-09 1.386041143476411399e-17
4.811251220605436861e-08 6.180885369477696166e-15
5.129247888066213435e-08 2.550003600247114304e-17
4.620470447910628056e-08 1.977508066879433905e-14
